flag_type,check_id,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword_text,metric_name,metric_value,threshold,delta,severity,detail
IS_LOSS_RANK,CA-D02,20691357994,EX | 25 | CH | SEARCH | LEAD | Schweisser,,,,search_rank_lost_impression_share,64.5,,,High,Rank-lost IS avg: 64.5% over 90 days.
IS_LOSS_HIGH,CA-D02,20702215351,EX | 25 | CH | SEARCH | LEAD | Polymechaniker,,,,combined_is_loss,86.1,20%,,High,"Combined IS loss: 86.1%. Budget-lost: 29.0%, Rank-lost: 57.1%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,20702215351,EX | 25 | CH | SEARCH | LEAD | Polymechaniker,,,,search_budget_lost_impression_share,29.0,,,High,Budget-lost IS avg: 29.0% over 90 days.
IS_LOSS_RANK,CA-D02,20702215351,EX | 25 | CH | SEARCH | LEAD | Polymechaniker,,,,search_rank_lost_impression_share,57.1,,,High,Rank-lost IS avg: 57.1% over 90 days.
IS_LOSS_HIGH,CA-D02,20707086616,EX | 25 | CH | SEARCH | LEAD | Produktionsmechaniker,,,,combined_is_loss,89.3,20%,,High,"Combined IS loss: 89.3%. Budget-lost: 19.8%, Rank-lost: 69.5%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,20707086616,EX | 25 | CH | SEARCH | LEAD | Produktionsmechaniker,,,,search_budget_lost_impression_share,19.8,,,High,Budget-lost IS avg: 19.8% over 90 days.
IS_LOSS_RANK,CA-D02,20707086616,EX | 25 | CH | SEARCH | LEAD | Produktionsmechaniker,,,,search_rank_lost_impression_share,69.5,,,High,Rank-lost IS avg: 69.5% over 90 days.
IS_LOSS_HIGH,CA-D02,20768068758,EX | 25 | CH | SEARCH | LEAD | Automatikmonteur,,,,combined_is_loss,79.6,20%,,High,"Combined IS loss: 79.6%. Budget-lost: 34.7%, Rank-lost: 44.9%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,20768068758,EX | 25 | CH | SEARCH | LEAD | Automatikmonteur,,,,search_budget_lost_impression_share,34.7,,,High,Budget-lost IS avg: 34.7% over 77 days.
IS_LOSS_RANK,CA-D02,20768068758,EX | 25 | CH | SEARCH | LEAD | Automatikmonteur,,,,search_rank_lost_impression_share,44.9,,,High,Rank-lost IS avg: 44.9% over 77 days.
IS_LOSS_HIGH,CA-D02,23369525700,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,,,,combined_is_loss,81.8,20%,,High,"Combined IS loss: 81.8%. Budget-lost: 23.6%, Rank-lost: 58.2%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,23369525700,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,,,,search_budget_lost_impression_share,23.6,,,High,Budget-lost IS avg: 23.6% over 90 days.
IS_LOSS_RANK,CA-D02,23369525700,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,,,,search_rank_lost_impression_share,58.2,,,High,Rank-lost IS avg: 58.2% over 90 days.
IS_LOSS_HIGH,CA-D02,23468547546,EX | 25 | CH | SEARCH | LEAD | Gärtner,,,,combined_is_loss,85.0,20%,,High,"Combined IS loss: 85.0%. Budget-lost: 22.2%, Rank-lost: 62.8%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,23468547546,EX | 25 | CH | SEARCH | LEAD | Gärtner,,,,search_budget_lost_impression_share,22.2,,,High,Budget-lost IS avg: 22.2% over 90 days.
IS_LOSS_RANK,CA-D02,23468547546,EX | 25 | CH | SEARCH | LEAD | Gärtner,,,,search_rank_lost_impression_share,62.8,,,High,Rank-lost IS avg: 62.8% over 90 days.
IS_LOSS_HIGH,CA-D02,23468556621,EX | 25 | CH | SEARCH | LEAD | Gipser,,,,combined_is_loss,81.8,20%,,High,"Combined IS loss: 81.8%. Budget-lost: 26.1%, Rank-lost: 55.7%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,23468556621,EX | 25 | CH | SEARCH | LEAD | Gipser,,,,search_budget_lost_impression_share,26.1,,,High,Budget-lost IS avg: 26.1% over 90 days.
IS_LOSS_RANK,CA-D02,23468556621,EX | 25 | CH | SEARCH | LEAD | Gipser,,,,search_rank_lost_impression_share,55.7,,,High,Rank-lost IS avg: 55.7% over 90 days.
IS_LOSS_HIGH,CA-D02,23468568174,EX | 26 | CH | SEARCH | LEAD | Kranführer,,,,combined_is_loss,82.5,20%,,High,"Combined IS loss: 82.5%. Budget-lost: 21.2%, Rank-lost: 61.3%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,23468568174,EX | 26 | CH | SEARCH | LEAD | Kranführer,,,,search_budget_lost_impression_share,21.2,,,High,Budget-lost IS avg: 21.2% over 90 days.
IS_LOSS_RANK,CA-D02,23468568174,EX | 26 | CH | SEARCH | LEAD | Kranführer,,,,search_rank_lost_impression_share,61.3,,,High,Rank-lost IS avg: 61.3% over 90 days.
IS_LOSS_HIGH,CA-D02,23468574954,EX | 26 | CH | SEARCH | LEAD | Montage-Schreiner,,,,combined_is_loss,77.7,20%,,High,"Combined IS loss: 77.7%. Budget-lost: 21.5%, Rank-lost: 56.2%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,23468574954,EX | 26 | CH | SEARCH | LEAD | Montage-Schreiner,,,,search_budget_lost_impression_share,21.5,,,High,Budget-lost IS avg: 21.5% over 78 days.
IS_LOSS_RANK,CA-D02,23468574954,EX | 26 | CH | SEARCH | LEAD | Montage-Schreiner,,,,search_rank_lost_impression_share,56.2,,,High,Rank-lost IS avg: 56.2% over 78 days.
IS_LOSS_HIGH,CA-D02,23468591016,EX | 25 | CH | SEARCH | LEAD | Zimmermann,,,,combined_is_loss,87.0,20%,,High,"Combined IS loss: 87.0%. Budget-lost: 24.1%, Rank-lost: 62.9%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,23468591016,EX | 25 | CH | SEARCH | LEAD | Zimmermann,,,,search_budget_lost_impression_share,24.1,,,High,Budget-lost IS avg: 24.1% over 90 days.
IS_LOSS_RANK,CA-D02,23468591016,EX | 25 | CH | SEARCH | LEAD | Zimmermann,,,,search_rank_lost_impression_share,62.9,,,High,Rank-lost IS avg: 62.9% over 90 days.
IS_LOSS_HIGH,CA-D02,23473547006,EX | 26 | CH | SEARCH | LEAD | Abdichter,,,,combined_is_loss,85.6,20%,,High,"Combined IS loss: 85.6%. Budget-lost: 23.0%, Rank-lost: 62.5%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,23473547006,EX | 26 | CH | SEARCH | LEAD | Abdichter,,,,search_budget_lost_impression_share,23.0,,,High,Budget-lost IS avg: 23.0% over 90 days.
IS_LOSS_RANK,CA-D02,23473547006,EX | 26 | CH | SEARCH | LEAD | Abdichter,,,,search_rank_lost_impression_share,62.5,,,High,Rank-lost IS avg: 62.5% over 90 days.
IS_LOSS_HIGH,CA-D02,23473551299,EX | 26 | CH | SEARCH | LEAD | Baumaschinenführer,,,,combined_is_loss,85.8,20%,,High,"Combined IS loss: 85.8%. Budget-lost: 21.0%, Rank-lost: 64.7%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,23473551299,EX | 26 | CH | SEARCH | LEAD | Baumaschinenführer,,,,search_budget_lost_impression_share,21.0,,,High,Budget-lost IS avg: 21.0% over 90 days.
