last_change_date_time,resource_type,resource_status,resource,campaign,ad_group
2026-07-12 10:35:03.309519,AD_GROUP_CRITERION,CHANGED,customers/3599116618/adGroupCriteria/141337937031~818109681481,customers/3599116618/campaigns/17655205884,customers/3599116618/adGroups/141337937031
2026-07-12 10:35:03.309519,AD_GROUP_CRITERION,CHANGED,customers/3599116618/adGroupCriteria/142609568599~1911974324040,customers/3599116618/campaigns/17820068572,customers/3599116618/adGroups/142609568599
2026-07-12 10:35:03.309519,AD_GROUP_CRITERION,CHANGED,customers/3599116618/adGroupCriteria/149134189166~1911974324040,customers/3599116618/campaigns/17820068572,customers/3599116618/adGroups/149134189166
2026-07-12 10:35:03.309519,AD_GROUP_CRITERION,CHANGED,customers/3599116618/adGroupCriteria/149134189166~2093888549661,customers/3599116618/campaigns/17820068572,customers/3599116618/adGroups/149134189166
2026-07-12 10:35:03.309519,AD_GROUP_CRITERION,CHANGED,customers/3599116618/adGroupCriteria/153203976687~1911974324040,customers/3599116618/campaigns/20186748653,customers/3599116618/adGroups/153203976687
2026-07-11 06:54:28.329771,CAMPAIGN,CHANGED,customers/3599116618/campaigns/23889033723,customers/3599116618/campaigns/23889033723,
2026-07-09 18:03:10.123698,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/195748583203~807308019993,customers/3599116618/campaigns/23807887103,customers/3599116618/adGroups/195748583203
2026-07-09 18:03:10.123698,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/195748583203~807327598507,customers/3599116618/campaigns/23807887103,customers/3599116618/adGroups/195748583203
2026-07-09 01:32:18.270607,AD_GROUP_CRITERION,CHANGED,customers/3599116618/adGroupCriteria/142609568599~348063672445,customers/3599116618/campaigns/17820068572,customers/3599116618/adGroups/142609568599
2026-07-09 01:32:18.270607,AD_GROUP_CRITERION,CHANGED,customers/3599116618/adGroupCriteria/142609568599~38683771,customers/3599116618/campaigns/17820068572,customers/3599116618/adGroups/142609568599
2026-07-09 01:32:18.270607,AD_GROUP_CRITERION,CHANGED,customers/3599116618/adGroupCriteria/142609568599~476587193,customers/3599116618/campaigns/17820068572,customers/3599116618/adGroups/142609568599
2026-07-09 01:32:18.270607,AD_GROUP_CRITERION,CHANGED,customers/3599116618/adGroupCriteria/142609568599~811301782,customers/3599116618/campaigns/17820068572,customers/3599116618/adGroups/142609568599
2026-07-09 01:32:18.270607,AD_GROUP_CRITERION,CHANGED,customers/3599116618/adGroupCriteria/158916156691~1932555128350,customers/3599116618/campaigns/20520258918,customers/3599116618/adGroups/158916156691
2026-07-09 01:32:18.270607,AD_GROUP_CRITERION,CHANGED,customers/3599116618/adGroupCriteria/158916156691~363740484229,customers/3599116618/campaigns/20520258918,customers/3599116618/adGroups/158916156691
2026-07-09 01:32:18.270607,AD_GROUP_CRITERION,CHANGED,customers/3599116618/adGroupCriteria/154062129540~298883683899,customers/3599116618/campaigns/20520677694,customers/3599116618/adGroups/154062129540
2026-07-08 18:31:58.980015,CAMPAIGN_BUDGET,CHANGED,customers/3599116618/campaigns/20520282363,customers/3599116618/campaigns/20520282363,
