last_change_date_time,resource_type,resource_status,resource,campaign,ad_group
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/23478160315,customers/1487707588/campaigns/23478160315,
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/23478231493,customers/1487707588/campaigns/23478231493,
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/23473608146,customers/1487707588/campaigns/23473608146,
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/23468568174,customers/1487707588/campaigns/23468568174,
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/23478250789,customers/1487707588/campaigns/23478250789,
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/23468574954,customers/1487707588/campaigns/23468574954,
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/23473633574,customers/1487707588/campaigns/23473633574,
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/23468591016,customers/1487707588/campaigns/23468591016,
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/23473547006,customers/1487707588/campaigns/23473547006,
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/23473551299,customers/1487707588/campaigns/23473551299,
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/23473587776,customers/1487707588/campaigns/23473587776,
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/23468547546,customers/1487707588/campaigns/23468547546,
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/23468556621,customers/1487707588/campaigns/23468556621,
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/23473611323,customers/1487707588/campaigns/23473611323,
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/23478262294,customers/1487707588/campaigns/23478262294,
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/23619183073,customers/1487707588/campaigns/23619183073,
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/23612966133,customers/1487707588/campaigns/23612966133,
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/6496855124,customers/1487707588/campaigns/6496855124,
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/6496821254,customers/1487707588/campaigns/6496821254,
2026-08-18 08:04:13.872772,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/6503042592,customers/1487707588/campaigns/6503042592,
2026-08-17 23:03:42.46997,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/57909492917~799809339829,customers/1487707588/campaigns/1509955426,customers/1487707588/adGroups/57909492917
2026-08-17 23:03:42.46997,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/155384660552~799809339967,customers/1487707588/campaigns/20691357994,customers/1487707588/adGroups/155384660552
2026-08-17 23:03:42.46997,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/156511338642~799809339973,customers/1487707588/campaigns/20707086616,customers/1487707588/adGroups/156511338642
2026-08-17 23:03:42.46997,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/154000335045~680739671475,customers/1487707588/campaigns/20768068758,customers/1487707588/adGroups/154000335045
2026-08-17 23:03:42.46997,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/190690911095~799809339982,customers/1487707588/campaigns/23369525700,customers/1487707588/adGroups/190690911095
2026-08-17 23:03:42.46997,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/197528102051~793450477372,customers/1487707588/campaigns/23468547546,customers/1487707588/adGroups/197528102051
2026-08-17 23:03:42.46997,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/194724430511~793454301028,customers/1487707588/campaigns/23468556621,customers/1487707588/adGroups/194724430511
2026-08-17 23:03:42.46997,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/194724430511~799809339988,customers/1487707588/campaigns/23468556621,customers/1487707588/adGroups/194724430511
2026-08-17 23:03:42.46997,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/193352510633~799809339991,customers/1487707588/campaigns/23468568174,customers/1487707588/adGroups/193352510633
2026-08-17 23:03:42.46997,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/192099072219~793525616583,customers/1487707588/campaigns/23468574954,customers/1487707588/adGroups/192099072219
2026-08-17 23:03:42.46997,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/191553934309~799809339997,customers/1487707588/campaigns/23468591016,customers/1487707588/adGroups/191553934309
2026-08-17 23:03:42.46997,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/191108771999~793391544237,customers/1487707588/campaigns/23473547006,customers/1487707588/adGroups/191108771999
2026-08-17 23:03:42.46997,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/194925305514~793442479576,customers/1487707588/campaigns/23473587776,customers/1487707588/adGroups/194925305514
2026-08-17 23:03:42.46997,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/194925305514~799809340006,customers/1487707588/campaigns/23473587776,customers/1487707588/adGroups/194925305514
2026-08-17 23:03:42.46997,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/200330564308~793457966311,customers/1487707588/campaigns/23473608146,customers/1487707588/adGroups/200330564308
2026-08-17 23:03:42.46997,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/200330564308~799809340009,customers/1487707588/campaigns/23473608146,customers/1487707588/adGroups/200330564308
2026-08-17 20:04:32.036469,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/15210620323,customers/1487707588/campaigns/15210620323,
2026-08-17 09:23:33.069255,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/190557736766~806879987019,customers/1487707588/campaigns/15210620323,customers/1487707588/adGroups/190557736766
2026-08-17 09:23:33.069255,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/189117549302~799809340024,customers/1487707588/campaigns/23478250789,customers/1487707588/adGroups/189117549302
2026-08-17 04:46:37.305688,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/164179782644~677704522963,customers/1487707588/campaigns/21301158443,customers/1487707588/adGroups/164179782644
2026-08-17 04:46:37.305688,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/168863401893~677704522963,customers/1487707588/campaigns/21818309179,customers/1487707588/adGroups/168863401893
2026-08-17 00:53:51.635188,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/195559356887~799809339835,customers/1487707588/campaigns/15145890855,customers/1487707588/adGroups/195559356887
2026-08-17 00:53:51.635188,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/193394861642~799809339838,customers/1487707588/campaigns/15210620317,customers/1487707588/adGroups/193394861642
2026-08-17 00:53:51.635188,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/193279372073~799809339964,customers/1487707588/campaigns/15347327648,customers/1487707588/adGroups/193279372073
2026-08-17 00:53:51.635188,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/197528102051~799809339985,customers/1487707588/campaigns/23468547546,customers/1487707588/adGroups/197528102051
2026-08-17 00:53:51.635188,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/191108771999~799809340000,customers/1487707588/campaigns/23473547006,customers/1487707588/adGroups/191108771999
2026-08-17 00:53:51.635188,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/194378322893~801084171054,customers/1487707588/campaigns/23473611323,customers/1487707588/adGroups/194378322893
2026-08-17 00:53:51.635188,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/193899557756~798872637979,customers/1487707588/campaigns/23619183073,customers/1487707588/adGroups/193899557756
2026-08-17 00:53:51.635188,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/193899557756~799809340030,customers/1487707588/campaigns/23619183073,customers/1487707588/adGroups/193899557756
2026-08-17 00:53:51.635188,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/193358511562~799809339832,customers/1487707588/campaigns/6503042592,customers/1487707588/adGroups/193358511562
2026-08-17 00:52:41.650195,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/154386686829~677738731571,customers/1487707588/campaigns/20685916051,customers/1487707588/adGroups/154386686829
2026-08-17 00:52:41.650195,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/164179782644~677738731571,customers/1487707588/campaigns/21301158443,customers/1487707588/adGroups/164179782644
2026-08-17 00:52:41.650195,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/168863401893~677738731571,customers/1487707588/campaigns/21818309179,customers/1487707588/adGroups/168863401893
2026-08-17 00:52:41.650195,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/197272236639~677704522963,customers/1487707588/campaigns/23994999502,customers/1487707588/adGroups/197272236639
2026-08-17 00:52:41.650195,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/197272236639~677738731571,customers/1487707588/campaigns/23994999502,customers/1487707588/adGroups/197272236639
2026-08-16 20:07:03.218285,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/15210620317,customers/1487707588/campaigns/15210620317,
2026-08-16 17:43:28.244293,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/155838292780~678576546692,customers/1487707588/campaigns/15210620323,customers/1487707588/adGroups/155838292780
2026-08-16 17:43:28.244293,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/154289158446~680926848202,customers/1487707588/campaigns/20775693739,customers/1487707588/adGroups/154289158446
2026-08-16 12:39:40.088014,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/193358511562~793325246767,customers/1487707588/campaigns/6503042592,customers/1487707588/adGroups/193358511562
2026-08-16 10:00:48.575508,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/195559356887~389024344970,customers/1487707588/campaigns/15145890855,customers/1487707588/adGroups/195559356887
2026-08-16 10:00:48.575508,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/168863401893~343556776025,customers/1487707588/campaigns/21818309179,customers/1487707588/adGroups/168863401893
2026-08-16 08:06:22.94998,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/20685916051,customers/1487707588/campaigns/20685916051,
2026-08-16 08:06:22.94998,CAMPAIGN_BUDGET,CHANGED,customers/1487707588/campaigns/23994999502,customers/1487707588/campaigns/23994999502,
2026-08-15 22:13:28.653893,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/193437338762~799809340027,customers/1487707588/campaigns/23478262294,customers/1487707588/adGroups/193437338762
2026-08-15 18:39:13.272451,AD_GROUP_AD,CHANGED,customers/1487707588/adGroupAds/197272236639~799809339823,customers/1487707588/campaigns/23994999502,customers/1487707588/adGroups/197272236639
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/57915591996~485614080859,customers/1487707588/campaigns/1501965597,customers/1487707588/adGroups/57915591996
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/59017661238~490732345852,customers/1487707588/campaigns/1502995588,customers/1487707588/adGroups/59017661238
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/56046739137~485261827346,customers/1487707588/campaigns/1503204868,customers/1487707588/adGroups/56046739137
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/58103502676~403732046614,customers/1487707588/campaigns/1507148387,customers/1487707588/adGroups/58103502676
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/58103502676~485065463736,customers/1487707588/campaigns/1507148387,customers/1487707588/adGroups/58103502676
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/58103502676~485065469496,customers/1487707588/campaigns/1507148387,customers/1487707588/adGroups/58103502676
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/60924850467~403732046614,customers/1487707588/campaigns/1507158668,customers/1487707588/adGroups/60924850467
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/60924850467~485065463736,customers/1487707588/campaigns/1507158668,customers/1487707588/adGroups/60924850467
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/60924850467~485065469496,customers/1487707588/campaigns/1507158668,customers/1487707588/adGroups/60924850467
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/58242237796~340813760866,customers/1487707588/campaigns/1511466167,customers/1487707588/adGroups/58242237796
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/60767301320~490103075885,customers/1487707588/campaigns/1511902750,customers/1487707588/adGroups/60767301320
2026-08-15 14:02:31.421665,AD_GROUP_CRITERION,CHANGED,customers/1487707588/adGroupCriteria/62261693270~501976457706,customers/1487707588/campaigns/1512477093,customers/1487707588/adGroups/62261693270
