campaign_id,campaign_name,ad_group_id,ad_group_name,has_kw_level_bindings,kw_level_keyword_count,kw_level_attributes,has_ag_level_bindings,ag_level_attributes,rsa_references_customizers,referenced_attribute_names,missing_attribute_names,static_attribute_names,effective_resolution,integrity_status,headline_test_mode
1509955426,EX | 25 | CH | SEARCH | LEAD | Brand,57909492917,Kollabo Name,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
20781019406,CH_GSN_DE_Brand Brand Biding Test,153560494217,Kollabo Name,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
20768068758,EX | 25 | CH | SEARCH | LEAD | Automatikmonteur,154000335045,AG | RSA | Automatikmonteur,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
20685916051,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,154386686829,STAN | HOME | BROAD,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
20702215351,EX | 25 | CH | SEARCH | LEAD | Polymechaniker,154917284156,AG | RSA | Polymechaniker,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
20691357994,EX | 25 | CH | SEARCH | LEAD | Schweisser,155384660552,AG | RSA | Schweisser,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
20707086616,EX | 25 | CH | SEARCH | LEAD | Produktionsmechaniker,156511338642,AG | RSA | Produktionsmechaniker,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
21301158443,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST Keyword Test,164179782644,STAN | HOME | BROAD,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
21818309179,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST  Testzeitraum 263,168863401893,STAN | HOME | BROAD,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
23478250789,EX | 26 | CH | SEARCH | LEAD | Maurer,189117549302,AG | RSA | Maurer,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
15210620323,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,190557736766,AG | RSA | Sanitärinstallateur,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
23369525700,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,190690911095,AG | RSA | Elektroinstallateur,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
23473547006,EX | 26 | CH | SEARCH | LEAD | Abdichter,191108771999,AG | RSA | Abdichter,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
6496821254,EX | 26 | CH | SEARCH | LEAD | Dachdecker,191152991225,AG | RSA | Dachdecker,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
15347327648,EX | 25 | CH | SEARCH | LEAD | Metallbauer,191429218741,AG | RSA | Metallbauer KW Testing,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
23468591016,EX | 25 | CH | SEARCH | LEAD | Zimmermann,191553934309,AG | RSA | Zimmermann,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
20702215351,EX | 25 | CH | SEARCH | LEAD | Polymechaniker,191651580382,AG | RSA | Polymechaniker | KW Testing,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
23473551299,EX | 26 | CH | SEARCH | LEAD | Baumaschinenführer,191930702636,AG | RSA | Baumaschinenführer,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
23468574954,EX | 26 | CH | SEARCH | LEAD | Montage-Schreiner,192099072219,AG | RSA | Montage-Schreiner,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
23473633574,EX | 26 | CH | SEARCH | LEAD | Trockenbauer,192620715275,AG | RSA | Trockenbauer,false,0,,false,,false,,,,,NO_CUSTOMIZERS,STANDARD
