placement,display_name,placement_type,campaign_name,campaign_channel_type,impressions,cost
"UCLJvwQ-173AlbFt7zvPl-CQ","CinePals","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",152,1.16
"UCckKR1kDbRKXJArtGYh6drQ","Live 8","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",169,1.16
"UCrkzfc2yf-7q6pd7EtzgNaQ","Wild 'N Out","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",174,1.15
"UCPDis9pjXuqyI7RYLJ-TTSA","FailArmy","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",166,1.15
"UCa7xkLfqLdO9e-DeFILP8xA","Böhse Onkelz","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",146,1.15
"UCC0I7nJ4L6K79W1Nx5R-tDw","Walkin´ Shoes","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",154,1.14
"UC_zeeGEpmAM3QYU0bGWsZYA","Dwayne's Lens","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",157,1.14
"UCvCDo7i9AZk42KW-aOntomg","Twin Paranormal","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",231,1.14
"UC2MjZanWOfyfsrHOyitmXbQ","Stimpee","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",163,1.14
"UC2Qw1dzXDBAZPwS7zm37g8g","COLORS","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",147,1.13
"UC_hK9fOxyy_TM8FJGXIyG8Q","Dhar Mann Studios","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",172,1.13
"UC1MEMnZEDKqLPu-B-AHIsyw","Rick and Morty","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",134,1.13
"UC3I2GFN_F8WudD_2jUZbojA","KEXP","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",145,1.12
"UC5Y03h8JAslS5HEuvQNdVWw","VoteSport","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",164,1.11
"UCKqH_9mk1waLgBiL2vT5b9g","VanossGaming","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",170,1.11
"UCQTmZczX5kGRgaPIgpy6CyQ","Max Amini","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",161,1.1
"UC6mbyqHqkmYIy9z68gpEq-w","Mavie Noelle","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",146,1.1
"UCBDPtMdQPMTqYjPNKDUTPug","Pop Potion ","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",154,1.1
"UCWqvhmZyB66eKv01SiH_Kjg","The Dead South","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",175,1.09
"UCoc_XJPj6YLMQDWtPDQcDtA","Brad Mondo","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",154,1.09
"UCrR-9qug_zHoiBBGTXGP2Hw","Family Friendly","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",159,1.09
"UCmRe_hOfMppsUfoW1_b3Eiw","Sorta Stupid","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",145,1.09
"UCpHaAKu74UHvcYCi2g_PvBQ","Shout! Studios","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",159,1.09
"UCmp5y07YIV6i2jPX4x82hVQ","Hollow","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",170,1.08
"UC0aSHiQNMy8IMmS7_8WbtdA","FunkyFrogBait","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",166,1.08
"UCD4UWbxOOrFsxkMMfjYQ0VA","Foltyn Reacts","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",173,1.08
"UCpJ7ZS8hK-IOeciv952Xhug","Really American","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",180,1.08
"UCqxprLDy_2hMQ7aQp_4NNuA","BOLAJI OGUNMOLA TV","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",156,1.08
"UCr1kbyiJzl-x5YYDxhYJuPw","MoreCaseOh","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",172,1.08
"UCbvdwZvZgdl-pPyomEmaEfg","Omoni Oboli TV","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",172,1.07
"UCJh1Bs6hnQFIlKXZjxD3HNw","Judas Priest ᴳᴼᴸᴰᴱᴺ ᴱᴿᴬ","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",141,1.07
"UCX62fwFYJNo5U-Flu2V-kGQ","BeastieBoysVEVO","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",155,1.07
"UCtoaZpBnrd0lhycxYJ4MNOQ","HasanAbi","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",140,1.06
"UCgPClNr5VSYC3syrDUIlzLw","Adult Swim","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",164,1.06
"UCWb0O7gdabdhZd62xiHTp0Q","David Alvareeezy","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",121,1.06
"UCIFk2uvCNcEmZ77g0ESKLcQ","The Why Files","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",173,1.05
"UC7issVWTLKVHDDk8hjcXAuQ","Frontline Vinyls","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",146,1.05
"UCoAEj6XaIzqxQ5C5OUIGcZA","Chuck Review","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",159,1.05
"UC6qrG3W8SMK0jior2olka3g","EarthCam","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",141,1.04
"UCEQiEyMO9ci0Y-KwLOF4ysQ","Rebal D","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",139,1.04
"UCRC6_ABf95bsNEAMpLa_rIw","BaBaBop De","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",112,1.04
"UCm1s2VS9BdyXL9FU4a-W_cQ","Nipsey Hussle","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",167,1.03
"UCifDpwVLU2V8nRQE9e-X_Sg","The Classic Rock Show","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",155,1.03
"UCaXHvBP-pM99x6rF86fqN1Q","Law & Order","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",174,1.03
"UC7_YxT-KID8kRbqZo7MyscQ","Markiplier","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",170,1.02
"UCTrSsPMmZavLbc3Ex7VhjDg","Brandon Herrera","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",136,1.02
"UCdmNJsuJRK5Y-1yjt_W4JZg","DGainz","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",153,1.02
"UCqECaJ8Gagnn7YCbPEzWH6g","Taylor Swift","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",143,1.02
"UCkQO3QsgTpNTsOw6ujimT5Q","BE AMAZED","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",143,1.02
"UC3MJVwoumJMTqCe9IaEhtiw","World at War","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",147,1.01
"UCgeGN-xr-_k8qpwntGOcVyQ","Mario Adrion","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",132,1.01
"UCxnvMb3tmn30kL-7M3GhqBw","Country Boots Music","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",126,1.01
"UCx44Zf6KYNL53ikyk7insIA","Jordan Fabrics","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",112,1.01
"UC0juKWIFfobGKvtRv-l50Ng","Historical Photos🌌","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",160,1
"UCAiQdfdKGLfFAL2lYnGEvKA","Wackawackamunv2","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",169,1
"UCbDNCzgdLlvYY9dk5M8063A","BangerChannel","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",121,1
"UCefO_zFbQc6-zHOw_juG7FA","ROGOV LIVE","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",171,1
"UC6rveledU41ySmaGToC-5BQ","DISCTRO","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",163,1
"UC9ek8xUVjnmQ-q7f6CTwtxg","AstralSpiff","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",160,1
"UConsW7bxRwetBihLsschPvw","CONtv","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",145,1
"UCuhwvTYFvVZjyBVXc9T7CrA","Dan and Phil","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",118,1
"UC6LBo0GXFaUtf-mWccqfw-w","The Backlogs","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",175,1
"UCEA9zuRgGKdK2Clrrgw0WOA","305 MIAMI VISUALS","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",126,1
"UCOYKMmyHJD5W46t5DvWsJTQ","RetroTVCentral","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",162,0.99
"UC02htytGSVVUsTGTFZEgtcg","imactuallyLazy","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",149,0.99
"UCo1DYcm1IZ9v3UPkpiAcgtg","Tyler, The Creator - Topic","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",174,0.99
"UCVFqk8JxVGg2_99AmqFdS4g","Danny Motta","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",173,0.99
"UC28UTOh-i8432VHB_bmNNMg","Skinny","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",155,0.99
"UCoSwRgn1R8fPBNI-c4yjWUw","Suits Official","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",148,0.98
"UCE_--R1P5-kfBzHTca0dsnw","Complex","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",132,0.98
"UCBAr0kdANnp5VNG6w1t9CxQ","Marcus Nimbler","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",156,0.98
"UCZTu831eAXKZd-5w5onpiag","Daily Dose Of SANITY","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",137,0.98
"UCCJQpSNAoYtDAYOzMrqr7mQ","Doya Doya Moda","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",146,0.98
"UCKNbAYjhxVS5Y8p3FhhUxoA","PointlessHub","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",153,0.98
"UC6ly_u2ufiHGpYzC_28-8zw","KoRn","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",110,0.98
"UCW33L17SyCw3-W4uFBLMjgQ","Mahdi Fun","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",154,0.97
"UC70Dib4MvFfT1tU6MqeyHpQ","Preston","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",153,0.97
"UCkFJ9wGXfufCCi4PYIy5-Hw","戰爭劇場Chinese Drama","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",141,0.97
"UCn8zNIfYAQNdrFRrr8oibKw","VICE","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",124,0.96
"UChJ73nb9I4Xq1bzc0a-j-pQ","YaBoyRoshi","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",144,0.96
"UCylf65nv4wJl58ufT0ayqoA","Queen Coke Francis","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",136,0.95
"UCEa4XXtw8QNawY-y-2d8s1Q","Anatoly army","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",142,0.95
"UCV_CsAy5CNBX_uwDQ7RMe1Q","Central Cee","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",128,0.95
"UCF5RrlbsxJjAVLWgOCoNHMg","Bushy","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",161,0.95
"UCaBf1a-dpIsw8OxqH4ki2Kg","Geek & Sundry","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",146,0.95
"UCCbP5cOWp9s75x_r6xq7LcQ","Fatboy Slim","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",151,0.94
"UCIPxIMhgJ8KSVu4IleycGvA","Redshell Reacts","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",126,0.94
"UCYe1xFP0gW3xlHT6_lU6KOw","Ольга Крайзман","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",137,0.94
"UCpXfcdXulKYTBO3DNBFWMjQ","Domovinski rat - Borna Marinić","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",184,0.93
"UCcVqCJ_9owb1zM43vqswMNQ","BETNetworks","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",146,0.93
"UCq41TUYC3WRr4Qn7ok218vw","Gym Prank Mania","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",140,0.93
"UC47kJWRBD-NREBvmBg5kWeA","King Von","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",142,0.93
"UCwXgxPwky2cyU7iNXeV75LA","ClipZone: High Octane Hits","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",140,0.92
"UCK42hT7kOrAuC2fPLbIfXGw","A Vision Supreme","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",127,0.92
"UCSugZEYrWbzqIWGD195V-YA","Gucci Mane","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",142,0.92
"UCRE2zmVNW9wG2dndMoV4JKQ","Quenlin Blackwell","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",135,0.92
"UCdOcBpu5O2V0JhFFs9k-Ouw","HozierVEVO","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",110,0.92
"UCU0rIMU3k_AsVA8d6N1B03w","Warner Bros. Classics","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",132,0.92
"UCt8CdzMEoTie3iix3KmvV7A","GameSprout","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",131,0.91
"UCpEhnqL0y41EpW2TvWAHD7Q","SET India","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",132,0.91
"UC_62jYuKq0O-K66pjrK5jhQ","Knox Hill","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",129,0.91
