placement,display_name,placement_type,campaign_name,campaign_channel_type,impressions,cost
"UCGRryxFxjXbVAtBPE9EbyMg","Joe Bartolozzi","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",394,2.6
"UCdtXPiqI2cLorKaPrfpKc4g","Entertainment Tonight","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",375,2.59
"UC3cpN6gcJQqcCM6mxRUo_dA","Wendigoon","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",368,2.55
"UCiYcA0gJzg855iSKMrX3oHg","CoryxKenshin","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",376,2.53
"UCg3EL0TgTv8vURAtZp0POTg","MomentoTempusMedia","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",356,2.52
"UCpRC70yPrg3uFA6P8T8V5Zw","Behind the Veil","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",394,2.5
"UCDBCCMlFD-hArPbWv38FINA","Daz Games","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",378,2.49
"UCYyFEZ-3Hy4pdLFctDtRu3w","Beat-Club","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",360,2.48
"UC-mP1nlk0qOutA08zuQHORA","Patrick Cc:","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",421,2.47
"UCd9TUql8V7J-Xy1RNgA7MlQ","zanny","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",354,2.41
"UCAptZHV2-xkB4GJGgSKRsHQ","Новий канал","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",332,2.36
"UCgxXKGdzo7jk4DxjTywCTew","Skumnut","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",417,2.35
"UCRHXUZ0BxbkU2MYZgsuFgkQ","The Spiffing Brit","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",358,2.35
"UC_gSotrFVZ_PiAxo3fTQVuQ","Magnus Midtbø","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",284,2.32
"UCFNosi99Sp0_eLilBiXmmXA","FutureVEVO","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",391,2.32
"UCQznUf1SjfDqx65hX3zRDiA","DrakeVEVO","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",341,2.28
"UC7zsxKqd5MicTf4VhS9Y74g","Kurtis Conner","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",338,2.27
"UCzQUP1qoWDoEbmsQxvdjxgQ","PowerfulJRE","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",353,2.24
"UC2a9zmrdjvLsrRgi4G4blWw","MGKVEVO","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",369,2.24
"UCqFzWxSCi39LnW1JKFR3efg","Saturday Night Live","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",311,2.2
"UCp0urejlDaYz4G8xpTxdIvw","PEARL TV","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",276,2.13
"UCEzuOCz9-i0TSLePSbIoPWA","Amplified - Classic Rock & Music History","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",336,2.13
"UCzEnk4KWFlSj_PjXLz0-GMA","EmKay","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",347,2.09
"UCCxmzh3f-wwRZ-bEdLb80Og","The Big Bang Theory","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",346,2.09
"UCAR30oDTNbJE-Zd2NDg1mTQ","Electric Callboy","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",294,2.08
"UC8M5YVWQan_3Elm-URehz9w","Utopia Show","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",353,2.05
"UCUUUpaMp8DV6KUOfQwoIiLg","WOWPresents","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",308,2.02
"UC0DUAbtR2wOLMvlvDCzSHrQ","Iron Age","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",314,2.02
"UCPW5hBUmI-bsdWCMoD78tHw","Владимир Шмонденко","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",297,2.02
"UCmyjVwYZbp5YPYTUyeopO2g","Pawn Stars","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",314,2.01
"UC3gNmTGu-TTbFPpfSs5kNkg","Movieclips","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",268,2
"UCTGbDM6lZnKFctFA5GOU0Kg","KornVEVO","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",290,1.99
"UC1GSWeLsWRIpr39_jCBteSA","Kayla Shyx","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",267,1.96
"UCuB3qjWes1E8t4yUmbP360Q","Sashka","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",257,1.93
"UC7lvJ9GrnjdQ62fY08NBXZw","Balarke","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",301,1.92
"UCDogdKl7t7NHzQ95aEwkdMw","Sidemen","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",281,1.9
"UCnH8al10BzxCg-N-69Syqjg","Trap Lore Ross","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",313,1.87
"UCtdLtIKzgme3iaYy2n7x7eA","SHIFT","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",254,1.87
"UCsbyLdyxkbn0g8Nnw1h9zzw","Natalia Rotari","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",277,1.86
"UCarhVHQDU63divhaYPScVnQ","Overanalyzing Avatar","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",310,1.85
"UC3rLoj87ctEHCcS7BuvIzkQ","MsMojo","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",261,1.84
"UC7RNjS5nGShmMSuMcVgUyjQ","Marlon","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",276,1.83
"UCsEukrAd64fqA7FjwkmZ_Dw","GQ","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",262,1.83
"UCHW2YQeMezacWjwFK6wufjw","ChainsFR Shorts","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",271,1.81
"UCKrdjiuS66yXOdEZ_cOD_TA","Megan Thee Stallion","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",252,1.79
"UCsWqHrJvOU_uukQCU92VEvw","Dominic Fike - Topic","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",277,1.78
