keyword_text,match_type,campaign_name,ad_group_name,campaign_id,ad_group_id,criterion_id,flag_type,flag_severity,flag_detail,impressions,clicks,cost,primary_conversions,primary_cpa,effective_conversions,effective_cpa,effective_roas,break_even_cpa,break_even_roas,primary_kpi,is_core_term,quality_score,campaign_bidding_strategy_type,campaign_target_cpa,campaign_target_roas,efficiency_severity_tier,efficiency_severity_label,efficiency_severity_ratio,efficiency_impact,excess_spend,missing_conversion_value
elektroniker jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,312888247900,TIER_DEGRADED,Medium,elektroniker jobs schweiz shifted from OVER_TARGET to INSUFFICIENT_DATA,271,21,18.76,0.00,,0.00,,0.00,75.00,,cpa,true,1,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
handwerk & produktion job suchen,PHRASE,EX | 25 | CH | SEARCH | LEAD | Produktionsmechaniker,AG | RSA | Produktionsmechaniker,20707086616,156511338642,1711647387580,TIER_DEGRADED,Medium,handwerk & produktion job suchen shifted from HERO to INSUFFICIENT_DATA,320,16,17.96,0.00,,0.00,,0.00,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,49.10,0.00,,,,,,
zimmermann jobs zürich,BROAD,EX | 25 | CH | SEARCH | LEAD | Zimmermann,AG | RSA | Zimmermann,23468591016,191553934309,835671803435,TIER_DEGRADED,Medium,zimmermann jobs zürich shifted from HERO to INSUFFICIENT_DATA,182,14,17.55,0.00,,0.00,,0.00,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,75.50,0.00,,,,,,
polymechaniker stellenangebote,PHRASE,EX | 25 | CH | SEARCH | LEAD | Polymechaniker,AG | RSA | Polymechaniker | KW Testing,20702215351,191651580382,358813546043,TIER_DEGRADED,Medium,polymechaniker stellenangebote shifted from HERO to INSUFFICIENT_DATA,176,10,13.50,0.00,,0.00,,0.00,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,113.95,0.00,,,,,,
gipser temporär,PHRASE,EX | 25 | CH | SEARCH | LEAD | Gipser,AG | RSA | Gipser,23468556621,194724430511,1469632000692,TIER_DEGRADED,Medium,gipser temporär shifted from HERO to ACTIVE,33,6,12.73,1.00,12.73,1.00,12.73,0.00,75.00,,cpa,false,7,MAXIMIZE_CONVERSIONS,81.44,0.00,,,,,,
sanitärinstallateur offene stellen,PHRASE,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,327020830076,TIER_DEGRADED,Medium,sanitärinstallateur offene stellen shifted from HERO to INSUFFICIENT_DATA,98,6,10.07,0.00,,0.00,,0.00,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,102.77,0.00,,,,,,
automatiker job,BROAD,EX | 25 | CH | SEARCH | LEAD | Automatiker,AG | RSA | Automatiker,15210620317,193394861642,43624916610,TIER_DEGRADED,Medium,automatiker job shifted from OVER_TARGET to INSUFFICIENT_DATA,60,7,8.87,0.00,,0.00,,0.00,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,53.24,0.00,,,,,,
elektroinstallateur temporär,EXACT,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,23369525700,190690911095,335901944824,TIER_DEGRADED,Medium,elektroinstallateur temporär shifted from ACTIVE to INSUFFICIENT_DATA,20,3,5.80,0.00,,0.00,,0.00,75.00,,cpa,false,8,MAXIMIZE_CONVERSIONS,45.65,0.00,,,,,,
collabo,BROAD,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,309201501,TIER_DEGRADED,Medium,collabo shifted from ACTIVE to INSUFFICIENT_DATA,39,12,3.70,0.00,,0.00,,0.00,75.00,,cpa,false,9,MAXIMIZE_CONVERSIONS,15.59,0.00,,,,,,
kranführer jobs schweiz,EXACT,EX | 26 | CH | SEARCH | LEAD | Kranführer,AG | RSA | Kranführer,23468568174,193352510633,359200255116,TIER_DEGRADED,Medium,kranführer jobs schweiz shifted from HERO to INSUFFICIENT_DATA,9,3,3.02,0.00,,0.00,,0.00,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,121.14,0.00,,,,,,
kolaboo,EXACT,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,425940767453,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,false,10,MAXIMIZE_CONVERSIONS,15.59,0.00,,,,,,
kolaboo,EXACT,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,425940767453,TIER_DEGRADED,Medium,kolaboo shifted from INSUFFICIENT_DATA to ZOMBIE,0,0,0.00,0.00,,0.00,,,75.00,,cpa,false,10,MAXIMIZE_CONVERSIONS,15.59,0.00,,,,,,
kollabro,EXACT,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,1596575983402,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,false,,MAXIMIZE_CONVERSIONS,15.59,0.00,,,,,,
kollabo ag winterthur,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2172567691666,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,10,MAXIMIZE_CONVERSIONS,15.59,0.00,,,,,,
kollabo ag winterthur,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2172567691666,TIER_DEGRADED,Medium,kollabo ag winterthur shifted from INSUFFICIENT_DATA to ZOMBIE,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,10,MAXIMIZE_CONVERSIONS,15.59,0.00,,,,,,
kolabro,EXACT,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2436359465708,LOW_PERFORMER,Medium,"1 impressions, 0 clicks in evaluation period",1,0,0.00,0.00,,0.00,,,75.00,,cpa,false,8,MAXIMIZE_CONVERSIONS,15.59,0.00,,,,,,
automatikmonteur efz,BROAD,EX | 25 | CH | SEARCH | LEAD | Automatikmonteur,AG | RSA | Automatikmonteur,20768068758,154000335045,309386030282,LOW_PERFORMER,Medium,"1 impressions, 0 clicks in evaluation period",1,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,39.47,0.00,,,,,,
aufzüge jobs,PHRASE,EX | 25 | CH | SEARCH | LEAD | Automatikmonteur,AG | RSA | Automatikmonteur,20768068758,154000335045,362814121323,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,39.47,0.00,,,,,,
autowerkstatt jobs,PHRASE,EX | 25 | CH | SEARCH | LEAD | Automatikmonteur,AG | RSA | Automatikmonteur,20768068758,154000335045,666718148349,LOW_PERFORMER,Medium,"24 impressions, 0 clicks in evaluation period",24,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,39.47,0.00,,,,,,
mechanical engineering jobs switzerland,EXACT,EX | 25 | CH | SEARCH | LEAD | Automatikmonteur,AG | RSA | Automatikmonteur,20768068758,154000335045,744707643328,LOW_PERFORMER,Medium,"1 impressions, 0 clicks in evaluation period",1,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,39.47,0.00,,,,,,
automatikmonteur in efz,PHRASE,EX | 25 | CH | SEARCH | LEAD | Automatikmonteur,AG | RSA | Automatikmonteur,20768068758,154000335045,2474791555861,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,39.47,0.00,,,,,,
dachdecker jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,304108247215,LOW_PERFORMER,Medium,"2 impressions, 0 clicks in evaluation period",2,0,0.00,0.00,,0.00,,,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
schreiner jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,312859575540,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
welding jobs in switzerland,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,313032445606,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
schweisser jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,315747770388,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
schweisser jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,315747770388,TIER_DEGRADED,Medium,schweisser jobs schweiz shifted from LOW_PERFORMER to ZOMBIE,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
construction work switzerland,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,342318178938,LOW_PERFORMER,Medium,"16 impressions, 0 clicks in evaluation period",16,0,0.00,0.00,,0.00,,,75.00,,cpa,false,6,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
tischler jobs schweiz,PHRASE,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,355425854790,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
montage schweiz jobs,PHRASE,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,357042555507,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
metallbauer jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,378269064195,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
schweiz bau jobs,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,385620786458,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
tischler stellenangebote schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,446945463342,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
automatiker jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,449720661295,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
maurer schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,506114805752,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,6,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
maurer schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,506114805752,TIER_DEGRADED,Medium,maurer schweiz shifted from LOW_PERFORMER to ZOMBIE,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,6,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
trockenbauer jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,576617117712,LOW_PERFORMER,Medium,"1 impressions, 0 clicks in evaluation period",1,0,0.00,0.00,,0.00,,,75.00,,cpa,true,3,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
schweisser jobs schweiz,PHRASE,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,719863578150,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
metallbauer jobs schweiz,PHRASE,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,1663887784483,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
bauarbeiter in der schweiz,PHRASE,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,1886185132027,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
schweiz handwerker jobs,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,2227726921619,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,8,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
schweiz handwerker jobs,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,2227726921619,TIER_DEGRADED,Medium,schweiz handwerker jobs shifted from INSUFFICIENT_DATA to ZOMBIE,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,8,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
Metallbauer schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,2454587382705,LOW_PERFORMER,Medium,"1 impressions, 0 clicks in evaluation period",1,0,0.00,0.00,,0.00,,,75.00,,cpa,true,8,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
Metallbauer schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,2454587382705,TIER_DEGRADED,Medium,Metallbauer schweiz shifted from INSUFFICIENT_DATA to LOW_PERFORMER,1,0,0.00,0.00,,0.00,,,75.00,,cpa,true,8,MAXIMIZE_CONVERSIONS,11.00,0.00,,,,,,
welder jobs,PHRASE,EX | 25 | CH | SEARCH | LEAD | Schweisser,AG | RSA | Schweisser,20691357994,155384660552,291852800,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,36.82,0.00,,,,,,
welder jobs,PHRASE,EX | 25 | CH | SEARCH | LEAD | Schweisser,AG | RSA | Schweisser,20691357994,155384660552,291852800,TIER_DEGRADED,Medium,welder jobs shifted from LOW_PERFORMER to ZOMBIE,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,36.82,0.00,,,,,,
schweisser arbeit,BROAD,EX | 25 | CH | SEARCH | LEAD | Schweisser,AG | RSA | Schweisser,20691357994,155384660552,318072487572,LOW_PERFORMER,Medium,"1 impressions, 0 clicks in evaluation period",1,0,0.00,0.00,,0.00,,,75.00,,cpa,true,8,MAXIMIZE_CONVERSIONS,36.82,0.00,,,,,,
stellenangebote schweisser schweiz,PHRASE,EX | 25 | CH | SEARCH | LEAD | Schweisser,AG | RSA | Schweisser,20691357994,155384660552,360112719821,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,36.82,0.00,,,,,,
job suchen schweißer,PHRASE,EX | 25 | CH | SEARCH | LEAD | Schweisser,AG | RSA | Schweisser,20691357994,155384660552,1642945796799,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,36.82,0.00,,,,,,
stellenangebote produktionsmechaniker,EXACT,EX | 25 | CH | SEARCH | LEAD | Produktionsmechaniker,AG | RSA | Produktionsmechaniker,20707086616,156511338642,334216012461,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,49.10,0.00,,,,,,
produktionsmechaniker bewerbung,EXACT,EX | 25 | CH | SEARCH | LEAD | Produktionsmechaniker,AG | RSA | Produktionsmechaniker,20707086616,156511338642,608899076847,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,49.10,0.00,,,,,,
produktionsmechaniker in efz,EXACT,EX | 25 | CH | SEARCH | LEAD | Produktionsmechaniker,AG | RSA | Produktionsmechaniker,20707086616,156511338642,1655370848086,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,49.10,0.00,,,,,,
produktionsmechaniker in efz,EXACT,EX | 25 | CH | SEARCH | LEAD | Produktionsmechaniker,AG | RSA | Produktionsmechaniker,20707086616,156511338642,1655370848086,TIER_DEGRADED,Medium,produktionsmechaniker in efz shifted from LOW_PERFORMER to ZOMBIE,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,49.10,0.00,,,,,,
jobs maurer,PHRASE,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,303040627186,LOW_PERFORMER,Medium,"1 impressions, 0 clicks in evaluation period",1,0,0.00,0.00,,0.00,,,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,17.30,0.00,,,,,,
jobs maurer,PHRASE,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,303040627186,TIER_DEGRADED,Medium,jobs maurer shifted from INSUFFICIENT_DATA to LOW_PERFORMER,1,0,0.00,0.00,,0.00,,,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,17.30,0.00,,,,,,
maurer jobs bern,EXACT,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,325350739840,LOW_PERFORMER,Medium,"3 impressions, 0 clicks in evaluation period",3,0,0.00,0.00,,0.00,,,75.00,,cpa,true,4,MAXIMIZE_CONVERSIONS,17.30,0.00,,,,,,
maurer jobs bern,EXACT,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,325350739840,TIER_DEGRADED,Medium,maurer jobs bern shifted from INSUFFICIENT_DATA to LOW_PERFORMER,3,0,0.00,0.00,,0.00,,,75.00,,cpa,true,4,MAXIMIZE_CONVERSIONS,17.30,0.00,,,,,,
maurer jobs zürich,PHRASE,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,326459354854,LOW_PERFORMER,Medium,"2 impressions, 0 clicks in evaluation period",2,0,0.00,0.00,,0.00,,,75.00,,cpa,true,8,MAXIMIZE_CONVERSIONS,17.30,0.00,,,,,,
maurer jobs zürich,PHRASE,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,326459354854,TIER_DEGRADED,Medium,maurer jobs zürich shifted from INSUFFICIENT_DATA to LOW_PERFORMER,2,0,0.00,0.00,,0.00,,,75.00,,cpa,true,8,MAXIMIZE_CONVERSIONS,17.30,0.00,,,,,,
maurer jobs aargau,PHRASE,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,485123639699,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,17.30,0.00,,,,,,
offerte lavoro muratore vitto alloggio svizzera,PHRASE,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,753218508900,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,false,5,MAXIMIZE_CONVERSIONS,17.30,0.00,,,,,,
offerte lavoro muratore vitto alloggio svizzera,PHRASE,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,753218508900,TIER_DEGRADED,Medium,offerte lavoro muratore vitto alloggio svizzera shifted from LOW_PERFORMER to ZOMBIE,0,0,0.00,0.00,,0.00,,,75.00,,cpa,false,5,MAXIMIZE_CONVERSIONS,17.30,0.00,,,,,,
jobs maurer basel,PHRASE,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,1637289783961,LOW_PERFORMER,Medium,"1 impressions, 0 clicks in evaluation period",1,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,17.30,0.00,,,,,,
plumber job,PHRASE,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,779384056,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,102.77,0.00,,,,,,
plumber job,PHRASE,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,779384056,TIER_DEGRADED,Medium,plumber job shifted from LOW_PERFORMER to ZOMBIE,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,102.77,0.00,,,,,,
sanitärinstallateur offene stellen,EXACT,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,23399998325,LOW_PERFORMER,Medium,"1 impressions, 0 clicks in evaluation period",1,0,0.00,0.00,,0.00,,,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,102.77,0.00,,,,,,
sanitär monteur,BROAD,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,296722256840,LOW_PERFORMER,Medium,"1 impressions, 0 clicks in evaluation period",1,0,0.00,0.00,,0.00,,,75.00,,cpa,false,,MAXIMIZE_CONVERSIONS,102.77,0.00,,,,,,
arbeit sanitär meister,EXACT,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,334183386868,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,102.77,0.00,,,,,,
sanitärinstallateur efz,BROAD,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,346622172633,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,102.77,0.00,,,,,,
sanitärinstallateur efz,BROAD,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,346622172633,TIER_DEGRADED,Medium,sanitärinstallateur efz shifted from LOW_PERFORMER to ZOMBIE,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,102.77,0.00,,,,,,
sanitärinstallateur jobs,PHRASE,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,426119976601,LOW_PERFORMER,Medium,"7 impressions, 0 clicks in evaluation period",7,0,0.00,0.00,,0.00,,,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,102.77,0.00,,,,,,
sanitärinstallateur in der nähe,BROAD,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,443982358753,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,false,,MAXIMIZE_CONVERSIONS,102.77,0.00,,,,,,
sanitär jobs luzern,PHRASE,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,748407943828,LOW_PERFORMER,Medium,"6 impressions, 0 clicks in evaluation period",6,0,0.00,0.00,,0.00,,,75.00,,cpa,true,4,MAXIMIZE_CONVERSIONS,102.77,0.00,,,,,,
sanitärinstallateur in efz,EXACT,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,864714899161,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,102.77,0.00,,,,,,
sanitärinstallateur in efz,EXACT,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,864714899161,TIER_DEGRADED,Medium,sanitärinstallateur in efz shifted from LOW_PERFORMER to ZOMBIE,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,102.77,0.00,,,,,,
elektriker stellenangebote,EXACT,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,23369525700,190690911095,2183921581,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,45.65,0.00,,,,,,
elektriker stellenangebote,EXACT,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,23369525700,190690911095,2183921581,TIER_DEGRADED,Medium,elektriker stellenangebote shifted from LOW_PERFORMER to ZOMBIE,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,45.65,0.00,,,,,,
elektroinstallateur schweiz,BROAD,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,23369525700,190690911095,333609685638,LOW_PERFORMER,Medium,"10 impressions, 0 clicks in evaluation period",10,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,45.65,0.00,,,,,,
elektroinstallateur schweiz,BROAD,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,23369525700,190690911095,333609685638,TIER_DEGRADED,Medium,elektroinstallateur schweiz shifted from INSUFFICIENT_DATA to LOW_PERFORMER,10,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,45.65,0.00,,,,,,
montage elektriker efz,EXACT,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,23369525700,190690911095,389508555555,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,45.65,0.00,,,,,,
