location,location_type,current_clicks,current_conversions,current_cpa,prior_year_clicks,prior_year_conversions,prior_year_cpa,yoy_deviation_pct,verdict
2040,LOCATION_OF_PRESENCE,38,0,,71,7.333336,7.28,100.0,WARN
2250,LOCATION_OF_PRESENCE,9,0,,0,0,,,SKIP
2276,LOCATION_OF_PRESENCE,632,16,40.17,1246,66.994116,16.58,142.4,WARN
2380,LOCATION_OF_PRESENCE,6,0,,29,3,7.45,100.0,WARN
2438,LOCATION_OF_PRESENCE,2,0,,1,0,,,SKIP
2756,LOCATION_OF_PRESENCE,5482,136.603635,54.79,5148,254.69288500000005,20.13,172.2,WARN
